ID,Paper (Author_Year),Definition (first 100 chars),Elements (key),Stakeholders (brief),Decision-Making (Y/N/Brief),Temporality (Y/N/What),Megaproject Coverage (Full/Partial/No),Temporal Misalignment (Y/N),Relevance to Electoral-Project Misalignment,Key Gaps
11,Livert et al._2019,No PG definition - urban/metropolitan governance & distributive politics.,multilevel (local/regional/central); fragmented metro,"Central govt + mayors; transfers 'used to win, exercise, and retain power' (p. 2)....",Yes,"Yes - Electoral time, not project time. Political budget cycles (p",No,Yes,High,Has the electoral clock but no project timeline to misalign it against.
12,Qiu et al._2019,Governance = 'all of the mechanisms within a project organization that... determine how resources ar,institutional logics; six complexity types,Four governments + designers/contractors/public; 'system leaders... conflicting buffer'...,Yes,"Yes - Moderate, project-internal. 'evolutionary complexity... dyna",Full,No,Medium,Multi-government structure but no electoral turnover modelled.
13,Denicol_2020,'clearly defined governance structure... to organize the inter-organizational relationships between ,megaproject multilayer/multilevel structure; owner/sponsor/client/delivery-partner/operator roles,Sponsor/client/delivery-partner; roles 'nonstatic and evolutionary... throughout the...,Yes,Yes - Moderate. Roles 'nonstatic and evolutionary... throughout th,Full,No,Medium,Evolving roles but no external electoral clock.
14,Turner_2020,Governance = 'Framework for managers to do work' vs governmentality = 'the way governors interact wi,governmentality types x governance; six psychological constructs,Board sets governmentality; PM sovereignty scale; Amsterdam principal-agency->stewardship...,Yes,Brief - Governmentality 'changes... from design to execution' (p. 7),No,No,Medium,Structure/governmentality split is a key RQ tool; no electoral clock.
15,Sainati et al._2020,'Project governance defines both the organisational structures and processes to govern the project..,SPVs; four SPV types,"Holders of 'a legal, or contractual, claim'; SPVs cluster stakeholders; lenders...",Yes,No - Minimal - SPV 'liquidated when... functions... accomplished',Full,No,Low,The durable contractual/SPV layer against which cyclical metagovernance could be contrasted.
16,Brunet_2021,"Governance framework (Klakegg et al., 2008: S30): 'an organized structure established as authoritati",efficiency / legitimacy / accountability; multilevel mapping,Project actors; ministers/Treasury Board/SQI. Conflict = tensions between...,Yes,Yes - Moderate. 'dynamic aspects'; framework evolution over years;,Full,No,Medium,Political dimension acknowledged; electoral timing not modelled.
17,Winch et al._2022,"No governance definition. Project narratives = 'coherent, performative narratives that project an in",objective/subjective/narrative time; projectivity,"Champion, team, external stakeholders; 'convincing oneself; the team;...",Yes,Yes - Core (theory of project time). Shaping->delivery narratives ,Partial,No,Medium,Supplies re-narration machinery; not pointed at elections.
18,Malherbe_2022,No governance definition. Cooperation (Calamel et al.): 'the stance or attitude of members... their ,coupling (distinctiveness x responsiveness); temporary-permanent connection,16 partners; no hierarchical decider; cooperation...,Brief,Yes - Moderate. Three sequences; pace clash (p. 880). No electoral,No,No,Low,Coupling lens transferable; no political clock.
19,Bourne et al._2023,Governance = 'the system of controls that suggest an overall direction for the project... matching a,moving goals & moving governance; where/how/what framework,"Client, contractor, public reps, steering committee; conflict from misaligned governance...",Yes,"Yes - Core & RQ-pointed. 'changes in technology, environmental fac",Full,Yes,High,Specialising 'moving governance' to a recurring electoral clock is open work.
20,Esposito et al._2023,"Megaprojects as wicked policy fields (complexity/uncertainty/conflict, p. 131); 'socioeconomic logic",six complexity types incl. political-administrative (multiple governments); discursive + institutional,"Managers, policy-makers, citizens, movements; conflict can 'stop, suspend, delay, or...",Yes,Yes - Moderate. 'megaprojects may take many years... how actors pe,Full,Yes,Medium,Policy-time framing; no explicit electoral cycle.
21,Pathak et al._2023,Turner (2006): governance 'provides the structure through which the objectives of the project are se,"aspects (inter-org, multi-level, evolutionary); mechanisms (formal: alliance, process/institutional framework, contract, assurance/governmental, goal-alignment; informal: network, trust, relationship mgmt)","Multi-party; owner/client, governments, contractors, suppliers; 'no actor has total...",Yes,"Yes - Moderate. Governance 'is regarded as dynamic, processual and",Full,No,Medium,Field-level confirmation of multi-level + evolutionary governance; no electoral-temporal agenda named.
22,Unterhitzenberger et al._2023,Governance = 'the framework that outlines the boundaries for management's execution of their tasks a,three levels: metagovernance / governance of networks / network governance; Type I (hierarchical) & Type II (nonhierarchical),"Sponsor/owner/investor set metagovernance; prime contractor, subcontractors, delivery...",Yes,Yes - Moderate. 'governance over time'; networks 'evolve throughou,Full,No,High,The vertical stack localises where an election bites; electoral clock not modelled.
23,Beck et al._2024,"No governance definition. Boundary work = 'purposeful... effort to influence the social, symbolic, m",five HRO principles; four boundary types,120+ agencies; deference to expertise + twice-daily meetings; shared boundary object...,Yes,"Yes - Moderate. Explicit temporal boundaries ('time, speed, and se",No,No,Low,Temporal-boundary concept transferable; no political clock.
24,Afieroho et al._2024,"Governmentality lens: government strategies to 'shape, normalize, and instrumentalize the conduct an",meta-governance ('coordination of... governance modes... to overcome governance failures'); community engagement,Government as dominant/steering stakeholder; private concessionaire; community. Conflict...,Yes,Yes - Moderate & RQ-pointed. 'it took over two years to secure a s,Full,Yes,High,Cross-level partisan delay shown; no cyclical electoral model.
25,Brunet et al._2024,"Governance framework (Klakegg et al., 2008: S30) treated as public policy; neo-institutionalism (Sco",institutional layering; path dependency,"Treasury Board, deputy heads, project leaders, SDO, sponsor, Cabinet; actors...",Yes,Yes - Core & RQ-critical. Five governance-framework iterations 197,Full,Yes,High,Framework-level (not single-project) trajectory; scale down to one megaproject crossing cycles.
26,Bakhshi et al._2025,"PMI (2021): PG = 'guidance of project activities through frameworks, processes, and functions aligne",from control to adaptation; five approaches,"Principals/agents, stakeholders, networks across levels; conflict theorised per...",Yes,Yes - Flags temporal governance as a gap. 'opportunities to explor,Partial,Yes,Medium,Names the missing agenda (temporal governance; sociopolitical triggers) without filling it.
27,Gil et al._2025,No PG definition. Governance trap = mismatch between law-mandated stakeholder inclusion and sharehol,2x2 framework (mandated stakeholder inclusion x shareholder-centric investment); Unified Governance / Mandated Stakeholderism / Voluntary Stakeholderism / Institutionalized Inclusivity,"Managers, stakeholders (communities/third parties), shareholders/investors; 'stakeholders...",Yes,Yes - Moderate & RQ-relevant. Planning-stage cost growth + politic,Full,Yes,High,Governance-trap 2x2 is a ready mechanism to which the electoral clock can be added.
28,Ika et al._2025,No governance definition. Temporary org = 'a set of organizational actors working together on a comp,4T framework; three time streams (clock/event/process),Divergent horizons: 'project managers... short-term concern... project funders......,Brief,Yes - Core (dedicated temporality theory). Entrainment = 'temporal,Partial,Yes,High,Treat the electoral cycle as a zeitgeber the megaproject fails to entrain to.
29,Delcayre et al._2025,No PG definition - energy-transition governance & local political agency in a multi-level (unitary F,external / internal / personal constraint factors; typology NIMEY / NIMTOO / ideological,"Local elected officials as political mediators who 'interpret, mediate, and sometimes...",Yes,Yes - Core & explicitly electoral (keystone). NIMEY; 'electoral ma,No,Yes,High,Names the exact mechanism (electoral misalignment) but at local-official / non-megaproject scale.
